Locality,FIPS,Population < 72 Months,Number Tested,Number Confirmed Elevated,Percent Confirmed Elevated,Confirmed Blood Lead Level Category 10-14 μg/dL,Confirmed Blood Lead Level Category 15-19 μg/dL,Confirmed Blood Lead Level Category 20-44 μg/dL,Confirmed Blood Lead Level Category 45-69 μg/dL,Confirmed Blood Lead Level Category ≥70 μg/dL
Accomack County,51001,2792,632,1,0.2,0,1,0,0,0
Albemarle County,51003,6000,304,3,1.0,3,0,0,0,0
Alleghany County,51005,905,56,1,1.8,1,0,0,0,0
Amelia County,51007,870,73,1,1.4,0,1,0,0,0
Amherst County,51009,2234,118,1,0.8,1,0,0,0,0
Appomattox County,51011,1047,76,0,0.0,0,0,0,0,0
Arlington County,51013,12144,2284,7,0.3,5,2,0,0,0
Augusta County,51015,4521,381,1,0.3,1,0,0,0,0
Bath County,51017,279,35,0,0.0,0,0,0,0,0
Bedford County,51019,4290,183,1,0.5,1,0,0,0,0
Bland County,51021,379,30,0,0.0,0,0,0,0,0
Botetourt County,51023,2107,421,1,0.2,1,0,0,0,0
Brunswick County,51025,1124,150,2,1.3,2,0,0,0,0
Buchanan County,51027,1583,234,1,0.4,0,0,1,0,0
Buckingham County,51029,926,113,1,0.9,1,0,0,0,0
Campbell County,51031,3678,138,2,1.4,2,0,0,0,0
Caroline County,51033,1690,276,1,0.4,1,0,0,0,0
Carroll County,51035,1998,137,1,0.7,1,0,0,0,0
Charles City County,51036,472,49,0,0.0,0,0,0,0,0
Charlotte County,51037,863,177,0,0.0,0,0,0,0,0
Chesterfield County,51041,21322,1752,9,0.5,6,1,1,0,0
Clarke County,51043,835,35,0,0.0,0,0,0,0,0
Craig County,51045,356,47,0,0.0,0,0,0,0,0
Culpeper County,51047,2660,254,1,0.4,1,0,0,0,0
Cumberland County,51049,689,56,0,0.0,0,0,0,0,0
Dickenson County,51051,1038,99,0,0.0,0,0,0,0,0
Dinwiddie County,51053,1650,126,1,0.8,1,0,0,0,0
Essex County,51057,635,69,0,0.0,0,0,0,0,0
Fairfax County,51059,81675,6607,17,0.3,11,2,3,1,0
Fauquier County,51061,4256,164,1,0.6,1,0,0,0,0
Floyd County,51063,950,83,1,1.2,1,0,0,0,0
Fluvanna County,51065,1567,118,1,0.8,1,0,0,0,0
Franklin County,51067,3147,164,0,0.0,0,0,0,0,0
Frederick County,51069,4657,151,2,1.3,2,0,0,0,0
Giles County,51071,1138,74,0,0.0,0,0,0,0,0
Gloucester County,51073,2483,40,0,0.0,0,0,0,0,0
Goochland County,51075,1044,136,1,0.7,1,0,0,0,0
Grayson County,51077,1061,49,0,0.0,0,0,0,0,0
Greene County,51079,1372,83,0,0.0,0,0,0,0,0
Greensville County,51081,528,6,0,0.0,0,0,0,0,0
Halifax County,51083,2714,268,1,0.4,0,1,0,0,0
Hanover County,51085,6872,563,4,0.7,3,0,1,0,0
Henrico County,51087,21575,2437,21,0.9,12,5,4,0,0
Henry County,51089,3911,114,2,1.8,1,1,0,0,0
Highland County,51091,112,9,0,0.0,0,0,0,0,0
Isle of Wight County,51093,2190,268,0,0.0,0,0,0,0,0
James City County,51095,3307,164,0,0.0,0,0,0,0,0
King and Queen County,51097,451,30,0,0.0,0,0,0,0,0
King George County,51099,1510,124,0,0.0,0,0,0,0,0
King William County,51101,1121,69,0,0.0,0,0,0,0,0
Lancaster County,51103,577,91,2,2.2,2,0,0,0,0
Lee County,51105,1648,297,0,0.0,0,0,0,0,0
Loudoun County,51107,19682,1507,4,0.3,2,0,1,1,0
Louisa County,51109,1904,108,1,0.9,1,0,0,0,0
Lunenburg County,51111,784,137,4,2.9,3,0,1,0,0
Madison County,51113,864,56,0,0.0,0,0,0,0,0
Mathews County,51115,504,15,1,6.7,1,0,0,0,0
Mecklenburg County,51117,2093,218,7,3.2,6,1,0,0,0
Middlesex County,51119,452,60,0,0.0,0,0,0,0,0
Montgomery County,51121,4758,228,0,0.0,0,0,0,0,0
Nelson County,51125,927,90,4,4.4,4,0,0,0,0
New Kent County,51127,927,87,0,0.0,0,0,0,0,0
Northampton County,51131,867,281,5,1.8,4,0,1,0,0
Northumberland County,51133,658,76,0,0.0,0,0,0,0,0
Nottoway County,51135,1057,154,2,1.3,0,2,0,0,0
Orange County,51137,1856,160,0,0.0,0,0,0,0,0
Page County,51139,1599,104,0,0.0,0,0,0,0,0
Patrick County,51141,1359,118,0,0.0,0,0,0,0,0
Pittsylvania County,51143,4194,448,0,0.0,0,0,0,0,0
Powhatan County,51145,1589,103,1,1.0,1,0,0,0,0
Prince Edward County,51147,1178,248,1,0.4,1,0,0,0,0
Prince George County,51149,2402,121,0,0.0,0,0,0,0,0
Prince William County,51153,28789,1428,2,0.1,2,0,0,0,0
Pulaski County,51155,2339,121,1,0.8,0,0,1,0,0
Rappahannock County,51157,420,28,0,0.0,0,0,0,0,0
Richmond County,51159,430,70,0,0.0,0,0,0,0,0
Roanoke County,51161,5587,486,2,0.4,2,0,0,0,0
Rockbridge County,51163,1351,54,0,0.0,0,0,0,0,0
Rockingham County,51165,5163,472,3,0.6,3,0,0,0,0
Russell County,51167,1955,243,0,0.0,0,0,0,0,0
Scott County,51169,1487,255,0,0.0,0,0,0,0,0
Shenandoah County,51171,2379,401,3,0.7,2,1,0,0,0
Smyth County,51173,2158,250,1,0.4,1,0,0,0,0
Southampton County,51175,1070,104,1,1.0,0,0,1,0,0
Spotsylvania County,51177,8430,861,4,0.5,2,2,0,0,0
Stafford County,51179,8810,460,3,0.7,3,0,0,0,0
Surry County,51181,477,62,1,1.6,1,0,0,0,0
Sussex County,51183,713,112,0,0.0,0,0,0,0,0
Tazewell County,51185,2879,664,2,0.3,1,1,0,0,0
Warren County,51187,2576,148,0,0.0,0,0,0,0,0
Washington County,51191,3147,191,2,1.0,1,0,1,0,0
Westmoreland County,51193,1046,159,3,1.9,3,0,0,0,0
Wise County,51195,2802,204,0,0.0,0,0,0,0,0
Wythe County,51197,1823,221,4,1.8,2,0,2,0,0
York County,51199,4439,82,0,0.0,0,0,0,0,0
Alexandria,51510,9262,1663,6,0.4,4,2,0,0,0
Bedford,51515,424,105,1,1.0,0,1,0,0,0
Bristol,51520,1114,163,0,0.0,0,0,0,0,0
Buena Vista,51530,461,37,0,0.0,0,0,0,0,0
Charlottesville,51540,2368,260,2,0.8,1,0,1,0,0
Chesapeake,51550,17265,1252,15,1.2,12,2,1,0,0
Colonial Heights,51570,1113,170,0,0.0,0,0,0,0,0
Covington,51580,471,335,0,0.0,0,0,0,0,0
Danville,51590,3502,782,12,1.5,5,2,4,1,0
Emporia,51595,436,78,0,0.0,0,0,0,0,0
Fairfax,51600,1538,448,0,0.0,0,0,0,0,0
Falls Church,51610,690,127,0,0.0,0,0,0,0,0
Franklin,51620,538,145,0,0.0,0,0,0,0,0
Fredericksburg,51630,1332,308,3,1.0,2,1,0,0,0
Galax,51640,525,129,0,0.0,0,0,0,0,0
Hampton,51650,11272,1373,8,0.6,7,0,1,0,0
Harrisonburg,51660,2281,220,3,1.4,3,0,0,0,0
Hopewell,51670,2020,361,4,1.1,3,1,0,0,0
Lexington,51678,247,24,0,0.0,0,0,0,0,0
Lynchburg,51680,4660,339,8,2.4,5,1,2,0,0
Manassas,51683,3636,556,1,0.2,1,0,0,0,0
Manassas Park,51685,1235,254,1,0.4,1,0,0,0,0
Martinsville,51690,1051,46,2,4.3,1,0,1,0,0
Newport News,51700,17107,1322,10,0.8,9,0,1,0,0
Norfolk,51710,19719,3390,27,0.8,24,1,2,0,0
Norton,51720,255,30,0,0.0,0,0,0,0,0
Petersburg,51730,2610,618,9,1.5,6,2,1,0,0
Poquoson,51735,738,12,0,0.0,0,0,0,0,0
Portsmouth,51740,8555,1626,14,0.9,4,6,4,0,0
Radford,51750,661,35,0,0.0,0,0,0,0,0
Richmond,51760,14788,3860,78,2.0,55,17,5,1,0
Roanoke,51770,7453,2028,28,1.4,18,5,4,1,0
Salem,51775,1479,430,1,0.2,1,0,0,0,0
Staunton,51790,1493,466,3,0.6,2,1,0,0,0
Suffolk,51800,5586,1006,10,1.0,7,2,1,0,0
Virginia Beach,51810,37054,2139,8,0.4,4,3,0,1,0
Waynesboro,51820,1546,352,3,0.9,0,2,1,0,0
Williamsburg,51830,370,3,0,0.0,0,0,0,0,0
Winchester,51840,1722,147,1,0.7,1,0,0,0,0
Unknown,,,11199,2,0.0,2,0,0,0,0
Virginia,,557454,69647,411,0.6,287,70,47,6,1