Locality,FIPS,Population < 36 months,Number Tested,Testing Rate/1000^,Number Confirmed Elevated,Percent Confirmed Elevated,Confirmed Blood Lead Level Category 10-14 µg/dL,Confirmed Blood Lead Level Category 15-19 µg/dL,Confirmed Blood Lead Level Category 20-44 µg/dL,Confirmed Blood Lead Level Category 45-69 µg/dL,Confirmed Blood Lead Level Category ≥ 70µg/dL
Accomack County,51001,"1,401",555,396,5,0.90%,3,0,2,0,0
Albemarle County,51003,"2,965",459,155,4,0.90%,4,0,0,0,0
Alleghany County,51005,428,56,131,1,1.80%,0,1,0,0,0
Amelia County,51007,423,45,106,1,2.20%,1,0,0,0,0
Amherst County,51009,"1,055",272,258,1,0.40%,1,0,0,0,0
Appomattox County,51011,500,134,268,2,1.50%,2,0,0,0,0
Arlington County,51013,"6,564","1,815",277,3,0.20%,2,0,1,0,0
Augusta County,51015,"2,197",367,167,1,0.30%,1,0,0,0,0
Bath County,51017,131,20,153,1,5.00%,1,0,0,0,0
Bedford County,51019,"1,996",367,184,0,0.00%,0,0,0,0,0
Bland County,51021,173,25,145,0,0.00%,0,0,0,0,0
Botetourt County,51023,"1,055",186,176,0,0.00%,0,0,0,0,0
Brunswick County,51025,546,62,114,0,0.00%,0,0,0,0,0
Buchanan County,51027,738,132,179,4,3.00%,2,1,1,0,0
Buckingham County,51029,419,74,177,1,1.40%,0,1,0,0,0
Campbell County,51031,"1,748",314,180,0,0.00%,0,0,0,0,0
Caroline County,51033,858,234,273,2,0.90%,2,0,0,0,0
Carroll County,51035,992,129,130,0,0.00%,0,0,0,0,0
Charles City County,51036,242,31,128,0,0.00%,0,0,0,0,0
Charlotte County,51037,398,143,359,0,0.00%,0,0,0,0,0
Chesterfield County,51041,"10,159","1,021",101,4,0.40%,4,0,0,0,0
Clarke County,51043,369,28,76,1,3.60%,0,1,0,0,0
Craig County,51045,163,24,147,0,0.00%,0,0,0,0,0
Culpeper County,51047,"1,315",310,236,0,0.00%,0,0,0,0,0
Cumberland County,51049,350,32,91,0,0.00%,0,0,0,0,0
Dickenson County,51051,535,56,105,0,0.00%,0,0,0,0,0
Dinwiddie County,51053,786,52,66,0,0.00%,0,0,0,0,0
Essex County,51057,314,28,89,0,0.00%,0,0,0,0,0
Fairfax County,51059,"40,580","4,293",106,16,0.40%,10,3,3,0,0
Fauquier County,51061,"2,048",127,62,2,1.60%,1,0,1,0,0
Floyd County,51063,462,30,65,0,0.00%,0,0,0,0,0
Fluvanna County,51065,762,138,181,2,1.40%,2,0,0,0,0
Franklin County,51067,"1,520",106,70,1,0.90%,0,0,1,0,0
Frederick County,51069,"2,296",199,87,0,0.00%,0,0,0,0,0
Giles County,51071,581,50,86,0,0.00%,0,0,0,0,0
Gloucester County,51073,"1,141",61,53,1,1.60%,1,0,0,0,0
Goochland County,51075,492,111,226,0,0.00%,0,0,0,0,0
Grayson County,51077,507,41,81,1,2.40%,1,0,0,0,0
Greene County,51079,668,105,157,0,0.00%,0,0,0,0,0
Greensville County,51081,261,1,4,0,0.00%,0,0,0,0,0
Halifax County,51083,"1,323",89,67,0,0.00%,0,0,0,0,0
Hanover County,51085,"3,290",319,97,0,0.00%,0,0,0,0,0
Henrico County,51087,"10,648","1,542",145,10,0.60%,8,2,0,0,0
Henry County,51089,"1,920",120,63,2,1.70%,1,1,0,0,0
Highland County,51091,58,14,241,0,0.00%,0,0,0,0,0
Isle of Wight County,51093,"1,047",143,137,0,0.00%,0,0,0,0,0
James City County,51095,"1,597",138,86,1,0.70%,1,0,0,0,0
King and Queen County,51097,220,23,105,0,0.00%,0,0,0,0,0
King George County,51099,715,73,102,2,2.70%,1,0,0,1,0
King William County,51101,517,33,64,0,0.00%,0,0,0,0,0
Lancaster County,51103,286,46,161,2,4.30%,2,0,0,0,0
Lee County,51105,808,130,161,0,0.00%,0,0,0,0,0
Loudoun County,51107,"9,919",675,68,0,0.00%,0,0,0,0,0
Louisa County,51109,939,163,174,1,0.60%,1,0,0,0,0
Lunenburg County,51111,393,83,211,0,0.00%,0,0,0,0,0
Madison County,51113,391,62,159,0,0.00%,0,0,0,0,0
Mathews County,51115,230,19,83,0,0.00%,0,0,0,0,0
Mecklenburg County,51117,"1,033",139,135,4,2.90%,1,1,2,0,0
Middlesex County,51119,211,31,147,0,0.00%,0,0,0,0,0
Montgomery County,51121,"2,421",141,58,1,0.70%,0,1,0,0,0
Nelson County,51125,469,85,181,0,0.00%,0,0,0,0,0
New Kent County,51127,420,63,150,0,0.00%,0,0,0,0,0
Northampton County,51131,437,185,423,2,1.10%,1,0,1,0,0
Northumberland County,51133,317,42,132,3,7.10%,2,0,1,0,0
Nottoway County,51135,517,117,226,3,2.60%,2,0,1,0,0
Orange County,51137,918,254,277,2,0.80%,2,0,0,0,0
Page County,51139,756,113,149,1,0.90%,0,1,0,0,0
Patrick County,51141,675,95,141,0,0.00%,0,0,0,0,0
Pittsylvania County,51143,"2,100",262,125,2,0.80%,2,0,0,0,0
Powhatan County,51145,786,58,74,0,0.00%,0,0,0,0,0
Prince Edward County,51147,573,228,398,0,0.00%,0,0,0,0,0
Prince George County,51149,"1,159",30,26,1,3.30%,1,0,0,0,0
Prince William County,51153,"14,421","1,060",74,1,0.10%,1,0,0,0,0
Pulaski County,51155,"1,149",205,178,0,0.00%,0,0,0,0,0
Rappahannock County,51157,217,16,74,0,0.00%,0,0,0,0,0
Richmond County,51159,213,25,117,0,0.00%,0,0,0,0,0
Roanoke County,51161,"2,627",294,112,0,0.00%,0,0,0,0,0
Rockbridge County,51163,681,34,50,0,0.00%,0,0,0,0,0
Rockingham County,51165,"2,512",872,347,1,0.10%,1,0,0,0,0
Russell County,51167,919,139,151,2,1.40%,2,0,0,0,0
Scott County,51169,708,82,116,1,1.20%,0,1,0,0,0
Shenandoah County,51171,"1,126",190,169,0,0.00%,0,0,0,0,0
Smyth County,51173,"1,064",246,231,3,1.20%,3,0,0,0,0
Southampton County,51175,532,47,88,1,2.10%,1,0,0,0,0
Spotsylvania County,51177,"4,013",274,68,0,0.00%,0,0,0,0,0
Stafford County,51179,"4,089",198,48,1,0.50%,1,0,0,0,0
Surry County,51181,230,19,83,0,0.00%,0,0,0,0,0
Sussex County,51183,375,52,139,0,0.00%,0,0,0,0,0
Tazewell County,51185,"1,358",343,253,1,0.30%,1,0,0,0,0
Warren County,51187,"1,255",56,45,1,1.80%,1,0,0,0,0
Washington County,51191,"1,565",132,84,1,0.80%,1,0,0,0,0
Westmoreland County,51193,551,46,83,0,0.00%,0,0,0,0,0
Wise County,51195,"1,382",99,72,1,1.00%,0,0,1,0,0
Wythe County,51197,899,125,139,0,0.00%,0,0,0,0,0
York County,51199,"2,021",56,28,0,0.00%,0,0,0,0,0
Alexandria,51510,"5,177","1,162",224,6,0.50%,5,0,1,0,0
Bedford,51515,211,101,479,0,0.00%,0,0,0,0,0
Bristol,51520,557,70,126,0,0.00%,0,0,0,0,0
Buena Vista,51530,231,5,22,0,0.00%,0,0,0,0,0
Charlottesville,51540,"1,237",424,343,3,0.70%,2,1,0,0,0
Chesapeake,51550,"8,475",661,78,3,0.50%,2,1,0,0,0
Colonial Heights,51570,517,82,159,0,0.00%,0,0,0,0,0
Covington,51580,216,111,514,0,0.00%,0,0,0,0,0
Danville,51590,"1,747",339,194,9,2.70%,6,1,2,0,0
Emporia,51595,216,33,153,0,0.00%,0,0,0,0,0
Fairfax,51600,807,348,431,4,1.10%,2,2,0,0,0
Falls Church,51610,344,99,288,0,0.00%,0,0,0,0,0
Franklin,51620,263,81,308,1,1.20%,0,1,0,0,0
Fredericksburg,51630,710,79,111,1,1.30%,1,0,0,0,0
Galax,51640,275,106,385,1,0.90%,1,0,0,0,0
Hampton,51650,"5,595",722,129,4,0.60%,2,0,2,0,0
Harrisonburg,51660,"1,208",363,300,0,0.00%,0,0,0,0,0
Hopewell,51670,986,168,170,0,0.00%,0,0,0,0,0
Lexington,51678,113,9,80,0,0.00%,0,0,0,0,0
Lynchburg,51680,"2,297",883,384,6,0.70%,6,0,0,0,0
Manassas,51683,"1,817",426,234,2,0.50%,2,0,0,0,0
Manassas Park,51685,635,196,309,1,0.50%,1,0,0,0,0
Martinsville,51690,529,63,119,0,0.00%,0,0,0,0,0
Newport News,51700,"8,617","1,213",141,8,0.70%,6,1,1,0,0
Norfolk,51710,"10,201","1,938",190,9,0.50%,5,3,1,0,0
Norton,51720,116,24,207,0,0.00%,0,0,0,0,0
Petersburg,51730,"1,313",174,133,7,4.00%,4,2,1,0,0
Poquoson,51735,344,15,44,0,0.00%,0,0,0,0,0
Portsmouth,51740,"4,374",747,171,3,0.40%,1,1,1,0,0
Radford,51750,357,40,112,0,0.00%,0,0,0,0,0
Richmond,51760,"7,608","1,988",261,50,2.50%,36,5,8,1,0
Roanoke,51770,"3,837","1,191",310,11,0.90%,6,3,2,0,0
Salem,51775,671,265,395,0,0.00%,0,0,0,0,0
Staunton,51790,775,346,446,6,1.70%,5,0,1,0,0
Suffolk,51800,"2,740",684,250,6,0.90%,3,3,0,0,0
Virginia Beach,51810,"18,395",899,49,2,0.20%,2,0,0,0,0
Waynesboro,51820,786,312,397,0,0.00%,0,0,0,0,0
Williamsburg,51830,195,3,15,0,0.00%,0,0,0,0,0
Winchester,51840,853,136,159,2,1.50%,2,0,0,0,0
Unknown *,,,"5,113",,,0.00%,,,,,
Virginia,,"276,483","43,977",159,250,0.60%,175,38,35,2,0