Locality,FIPS,Population < 36 Months,Number Tested,Number Confirmed Elevated,Percent Confirmed Elevated,Confirmed Blood Lead Level Category 10-14 μg/dL,Confirmed Blood Lead Level Category 15-19 μg/dL,Confirmed Blood Lead Level Category 20-44 μg/dL 45-69 μg/dL,Confirmed Blood Lead Level Category ≥ 70 μg/dL,,,
Accomack County,51001,"1,401",646,461,8,1.20%,5,2,1,0,,0
Albemarle County,51003,"2,965",514,173,2,0.40%,1,0,1,0,,0
Alleghany County,51005,428,23,54,1,4.30%,1,0,0,0,0,
Amelia County,51007,423,44,104,0,0.00%,0,0,0,0,0,
Amherst County,51009,"1,055",245,232,1,0.40%,1,0,0,0,,0
Appomattox County,51011,500,136,272,0,0.00%,0,0,0,0,0,
Arlington County,51013,"6,564",2096,319,5,2.30%,2,3,0,0,,0
Augusta County,51015,"2,197",303,138,0,0.00%,0,0,0,0,,0
Bath County,51017,131,11,84,1,9.10%,0,0,1,0,0,
Bedford County,51019,"1,996",280,140,0,0.00%,0,0,0,0,,0
Bland County,51021,173,34,197,0,0.00%,0,0,0,0,0,
Botetourt County,51023,"1,055",105,100,0,0.00%,0,0,0,0,,0
Brunswick County,51025,546,128,234,1,0.80%,1,0,0,0,0,
Buchanan County,51027,738,120,163,1,0.80%,1,0,0,0,0,
Buckingham County,51029,419,86,205,1,1.20%,1,0,0,0,0,
Campbell County,51031,"1,748",344,197,2,0.60%,1,0,1,0,,0
Caroline County,51033,858,150,175,2,1.30%,1,0,1,0,0,
Carroll County,51035,992,158,159,0,0.00%,0,0,0,0,0,
Charles City County,51036,242,25,103,0,0.00%,0,0,0,0,0,
Charlotte County,51037,398,73,183,2,2.70%,2,0,0,0,0,
Chesterfield County,51041,"10,159",1581,156,5,0.30%,4,1,0,0,,0
Clarke County,51043,369,51,138,0,0.00%,0,0,0,0,0,
Craig County,51045,163,15,92,0,0.00%,0,0,0,0,0,
Culpeper County,51047,"1,315",278,211,1,0.40%,0,1,0,0,,0
Cumberland County,51049,350,42,120,0,0.00%,0,0,0,0,0,
Dickenson County,51051,535,19,36,0,0.00%,0,0,0,0,0,
Dinwiddie County,51053,786,43,55,1,2.30%,0,1,0,0,0,
Essex County,51057,314,23,73,0,0.00%,0,0,0,0,0,
Fairfax County,51059,"40,580","5,129",126,12,0.20%,8,3,1,0,,0
Fauquier County,51061,"2,048",227,111,0,0.00%,0,0,0,0,,0
Floyd County,51063,462,13,28,0,0.00%,0,0,0,0,0,
Fluvanna County,51065,762,16,21,0,0.00%,0,0,0,0,0,
Franklin County,51067,"1,520",93,61,2,2.20%,1,1,0,0,,0
Frederick County,51069,"2,296",255,111,0,0.00%,0,0,0,0,,0
Giles County,51071,581,43,74,0,0.00%,0,0,0,0,0,
Gloucester County,51073,"1,141",54,47,0,0.00%,0,0,0,0,,0
Goochland County,51075,492,188,382,0,0.00%,0,0,0,0,0,
Grayson County,51077,507,56,110,0,0.00%,0,0,0,0,0,
Greene County,51079,668,7,10,0,0.00%,0,0,0,0,0,
Greensville County,51081,261,3,11,0,0.00%,0,0,0,0,0,
Halifax County,51083,"1,323",127,96,1,0.80%,0,1,0,0,,0
Hanover County,51085,"3,290",477,145,3,0.60%,3,0,0,0,,0
Henrico County,51087,"10,648",2027,190,10,0.50%,8,1,1,0,,0
Henry County,51089,"1,920",122,64,1,0.80%,0,1,0,0,,0
Highland County,51091,58,12,207,0,0.00%,0,0,0,0,0,
Isle of Wight County,"51,093","1,047",132,126,1,0.80%,0,1,0,0,,0
James City County,51095,"1,597",429,269,1,0.20%,1,0,0,0,,0
King and Queen County,51097,220,22,100,0,0.00%,0,0,0,0,0,
King George County,51099,715,67,94,1,1.50%,0,0,1,0,0,
King William County,51101,517,63,122,0,0.00%,0,0,0,0,0,
Lancaster County,51103,286,61,213,0,0.00%,0,0,0,0,0,
Lee County,51105,808,58,72,1,1.70%,1,0,0,0,0,
Loudoun County,51107,"9,919",843,85,0,0.00%,0,0,0,0,,0
Louisa County,51109,939,104,111,1,1.00%,1,0,0,0,0,
Lunenburg County,51111,393,77,196,2,2.60%,1,0,1,0,0,
Mathews County,51115,230,31,135,0,0.00%,0,0,0,0,0,
Mecklenburg County,51117,"1,033",231,224,2,0.90%,2,0,0,0,,0
Middlesex County,51119,211,42,199,0,0.00%,0,0,0,0,0,
Montgomery County,51121,"2,421",129,53,0,0.00%,0,0,0,0,,0
Nelson County,51125,469,63,134,0,0.00%,0,0,0,0,0,
New Kent County,51127,420,96,229,2,2.10%,2,0,0,0,0,
Northampton County,51131,437,198,453,3,1.50%,1,2,0,0,0,
Northumberland County,51133,317,39,123,0,0.00%,0,0,0,0,0,
Nottoway County,51135,517,110,213,2,1.80%,2,0,0,0,0,
Orange County,51137,918,51,56,1,2.00%,1,0,0,0,0,
Page County,51139,756,148,196,0,0.00%,0,0,0,0,0,
Patrick County,51141,675,113,167,0,0.00%,0,0,0,0,0,
Pittsylvania County,51143,"2,100",307,146,0,0.00%,0,0,0,0,,0
Powhatan County,51145,786,71,90,0,0.00%,0,0,0,0,0,
Prince Edward County,51147,573,217,379,1,0.50%,1,0,0,0,0,
Prince George County,51149,"1,159",51,44,0,0.00%,0,0,0,0,,0
Prince William County,51153,"14,421","1,453",101,1,0.10%,1,0,0,0,,0
Pulaski County,51155,"1,149",207,180,0,0.00%,0,0,0,0,,0
Rappahannock County,51157,217,41,189,0,0.00%,0,0,0,0,0,
Richmond County,51159,213,28,131,0,0.00%,0,0,0,0,0,
Roanoke County,51161,"2,627",168,64,0,0.00%,0,0,0,0,,0
Rockbridge County,51163,681,31,46,0,0.00%,0,0,0,0,0,
Rockingham County,51165,"2,512",1046,416,2,0.20%,1,1,0,0,,0
Russell County,51167,919,142,155,3,2.10%,1,0,2,0,0,
Scott County,51169,708,88,124,2,2.30%,0,0,2,0,0,
Shenandoah County,51171,"1,126",188,167,2,1.10%,1,1,0,0,,0
Smyth County,51173,"1,064",370,348,0,0.00%,0,0,0,0,,0
Spotsylvania County,51177,"4,013",337,84,3,0.90%,3,0,0,0,,0
Stafford County,51179,"4,089",324,79,1,0.30%,1,0,0,0,,0
Surry County,51181,230,23,100,0,0.00%,0,0,0,0,0,
Sussex County,51183,375,63,168,1,1.60%,1,0,0,0,0,
Tazewell County,51185,"1,358",397,292,0,0.00%,0,0,0,0,,0
Warren County,51187,"1,255",133,106,0,0.00%,0,0,0,0,,0
Washington County,51191,"1,565",166,106,0,0.00%,0,0,0,0,,0
Westmoreland County,51193,551,53,96,0,0.00%,0,0,0,0,0,
Wise County,51195,"1,382",34,25,0,0.00%,0,0,0,0,,0
Wythe County,51197,899,219,244,1,0.50%,1,0,0,0,0,
York County,51199,"2,021",66,33,0,0.00%,0,0,0,0,,0
Alexandria,51510,"5,177",1194,231,3,0.30%,3,0,0,0,,0
Bedford,51515,211,107,507,0,0.00%,0,0,0,0,0,
Bristol,51520,557,50,90,1,2.00%,0,1,0,0,0,
Buena Vista,51530,231,16,69,0,0.00%,0,0,0,0,0,
Charlottesville,51540,"1,237",61,49,0,0.00%,0,0,0,0,,0
Chesapeake,51550,"8,475",720,85,3,0.40%,3,0,0,0,,0
Colonial Heights,51570,517,87,168,0,0.00%,0,0,0,0,0,
Covington,51580,216,44,204,1,2.30%,1,0,0,0,0,
Danville,"51,590","1,747",321,184,4,1.20%,1,0,3,0,,0
Emporia,51595,216,59,273,2,3.40%,0,1,1,0,0,
Fairfax,51600,807,448,555,1,0.20%,1,0,0,0,0,
Falls Church,51610,344,147,427,0,0.00%,0,0,0,0,0,
Franklin,51620,263,101,384,0,0.00%,0,0,0,0,0,
Fredericksburg,51630,710,139,196,3,2.20%,3,0,0,0,0,
Galax,51640,275,167,607,1,0.60%,1,0,0,0,0,
Hampton,51650,"5,595",617,110,2,0.30%,1,0,1,0,,0
Harrisonburg,51660,"1,208",413,342,0,0.00%,0,0,0,0,,0
Hopewell,51670,986,110,112,2,1.80%,1,1,0,0,0,
Lexington,"51,678",113,14,124,0,0.00%,0,0,0,0,0,
Lynchburg,"51,680","2,297",895,390,1,0.10%,0,1,0,0,0,
Manassas,51683,"1,817",512,282,1,0.20%,1,0,0,0,0,
Manassas Park,51685,635,221,348,1,0.50%,1,0,0,0,0,
Martinsville,51690,529,81,153,0,0.00%,0,0,0,0,0,
Newport News,51700,"8,617",1093,127,7,0.60%,4,2,1,0,0,
Norfolk,51710,"10,201",1553,152,16,1.00%,10,6,0,0,0,
Norton,"51,720",116,4,34,0,0.00%,0,0,0,0,0,
Petersburg,"51,730","1,313",200,152,8,4.00%,5,2,1,0,0,
Poquoson,51735,344,14,41,0,0.00%,0,0,0,0,0,
Portsmouth,51740,"4,374",615,141,7,1.10%,4,2,1,0,0,
Radford,51750,357,42,118,0,0.00%,0,0,0,0,0,
Richmond,51760,"7,608",2442,321,34,1.40%,25,6,3,0,0,
Roanoke,51770,"3,837",461,120,7,1.50%,4,3,0,0,0,
Salem,51775,671,144,215,0,0.00%,0,0,0,0,0,
Staunton,51790,775,366,472,0,0.00%,0,0,0,0,0,
Suffolk,51800,"2,740",554,202,6,1.10%,2,1,2,1,0,
Virginia Beach ,51810,"18,395","1,156",63,0,0.00%,0,0,0,0,0,
Waynesboro,51820,786,77,98,4,5.20%,1,1,2,0,0,
Williamsburg,51830,195,7,36,0,0.00%,0,0,0,0,0,
Winchester,51840,853,190,223,0,0.00%,0,0,0,0,0,
Unknown *,,,"13,357",,3,0.00%,3,0,0,0,0,
Virginia,,"276,483","54,634",19800.00%,21700.00%,0.40%,140,47,29,1,0,