Locality,Zip Code
Accomack County,23301
Accomack County,23302
Accomack County,23308
Accomack County,23336
Accomack County,23356
Accomack County,23357
Accomack County,23359
Accomack County,23395
Accomack County,23399
Accomack County,23404
Accomack County,23407
Accomack County,23409
Accomack County,23410
Accomack County,23417
Accomack County,23418
Accomack County,23420
Accomack County,23421
Accomack County,23426
Accomack County,23440
Accomack County,23442
Albermarle County,22901
Albermarle County,22931
Albermarle County,22937
Albermarle County,22943
Albermarle County,22947
Albermarle County,22959
Albermarle County,24590
Alexandria,22301
Alexandria,22302
Alexandria,22305
Alexandria,22314
Alleghany County,24422
Amelia County,23083
Appomattox County,23958
Arlington County,22201
Arlington County,22203
Arlington County,22204
Arlington County,22205
Arlington County,22206
Arlington County,22207
Arlington County,22211
Augusta County,22843
Augusta County,22939
Augusta County,24430
Augusta County,24432
Augusta County,24437
Augusta County,24459
Augusta County,24467
Augusta County,24476
Augusta County,24479
Augusta County,24485
Augusta County,24486
Bath County,24445
Bath County,24450
Bath County,24434
Bath County,24487
Bedford County,24526
Bland County,24315
Bland County,24318
Bland County,24366
Botetourt County,24066
Botetourt County,24085
Botetourt County,24090
Bristol,24201
Brunswick County,23821
Brunswick County,23888
Brunswick County,23320
Buchanan County,24639
Buckingham County,23936
Buena Vista,24416
Caroline County,22427
Caroline County,22514
Carroll County,24325
Carroll County,24343
Carroll County,24352
Charlotte County,23923
Charlotte County,23934
Charlotte County,23962
Charlotte County,23964
Charlottesville,22903
Chesapeake,23324
Clarke County,22611
Clarke County,22620
Clarke County,22663
Craig County,24127
Craig County,24131
Culpeper County,22713
Culpeper County,22718
Culpeper County,22726
Culpeper County,22729
Culpeper County,22736
Cumberland County,23027
Danville,24540
Danville,24541
Dickenson County,24226
Dickenson County,24272
Dickenson County,24289
Dinwiddie County,23830
Dinwiddie County,23840
Dinwiddie County,23850
Dinwiddie County,23872
Dinwiddie County,23894
Emporia,23847
Essex County,22454
Essex County,22504
Essex County,22509
Essex County,22560
Fairfax County,22307
Falls Church,22046
Fauquier County,22639
Fauquier County,22643
Fauquier County,22734
Floyd County,24072
Floyd County,24091
Floyd County,24105
Floyd County,24380
Fluvanna County,23022
Fluvanna County,23084
Franklin,23851
Frederick County,22645
Frederick County,22654
Galax,24333
Giles County,24086
Giles County,24093
Giles County,24094
Giles County,24124
Giles County,24128
Giles County,24134
Giles County,24147
Giles County,24150
Goochland County,23038
Goochland County,23153
Grayson County,24292
Grayson County,24326
Grayson County,24330
Grayson County,24378
Greene County,22935
Halifax County,24534
Halifax County,24539
Halifax County,24577
Halifax County,24592
Halifax County,24598
Hampton,23651
Hampton,23661
Hampton,23665
Hanover County,23047
Hanover County,23069
Henrico County,23226
Henrico County,23227
Henrico County,23229
Henrico County,23230
Henrico County,23231
Henry County,24089
Highland County,24413
Highland County,24433
Highland County,24442
Highland County,24458
Highland County,24465
Highland County,24468
Isle of Wright County,23315
James City County,23185
King and Queen County,23023
King and Queen County,23108
King and Queen County,23110
King and Queen County,23156
King and Queen County,23177
King George County,22448
King William County,23009
King William County,23181
Lancaster County,22480
Lancaster County,22503
Lee County,24221
Lee County,24265
Lee County,24277
Lee County,24282
Lexington,24450
Louisa County,23024
Lunenburg County,23938
Lunenburg County,23944
Lunenburg County,23952
Lunenburg County,23974
Lynchburg,24501
Lynchburg,24503
Lynchburg,24504
Madison County,22709
Madison County,22719
Madison County,22727
Madison County,22732
Martinsville,24112
Mathews County,23021
Mathews County,23025
Mathews County,23045
Mathews County,23066
Mathews County,23109
Mathews County,23125
Mathews County,23130
Mecklenburg County,23915
Mecklenburg County,23924
Mecklenburg County,23968
Mecklenburg County,23970
Middlesex County,23079
Middlesex County,23149
Middlesex County,23176
Middlesex County,23180
Montgomery County,24138
Montgomery County,24149
Nelson County,22938
Nelson County,22964
Nelson County,22969
Nelson County,22971
Nelson County,24464
Nelson County,24553
Newport News,23604
Newport News,23607
Norfolk,23503
Norfolk,23504
Norfolk,23505
Norfolk,23507
Norfolk,23508
Norfolk,23509
Norfolk,23510
Norfolk,23511
Norfolk,23517
Norfolk,23523
Northampton County,23310
Northampton County,23350
Northampton County,23354
Northampton County,23405
Northampton County,23413
Northumberland County,22435
Northumberland County,22473
Northumberland County,22539
Northumberland County,22579
Norton,24273
Nottoway County,23824
Nottoway County,23922
Nottoway County,23930
Orange County,22972
Раge County,22650
Раge County,22835
Раge County,22849
Раge County,22851
Patrick County,24185
Petersburg,23303
Pittsylvania County,24139
Pittsylvania County,24531
Pittsylvania County,24594
Portsmouth,23701
Portsmouth,23702
Portsmouth,23704
Portsmouth,23707
Powhatan County,23139
Prince Edward County,23901
Prince Edward County,23942
Prince George County,23842
Prince William County,22134
Pulaski County,24301
Pulaski County,24347
Radford,24141
Rappahanock County,22002
Rappahanock County,22716
Rappahanock County,22740
Rappahanock County,22746
Rappahanock County,22747
Rappahanock County,22749
Richmond,23219
Richmond,23220
Richmond,23221
Richmond,23222
Richmond,23223
Richmond,23224
Richmond,23225
Roanoke,24011
Roanoke,24013
Roanoke,24014
Roanoke,24015
Roanoke,24016
Rockbridge County,24435
Rockbridge County,24439
Rockbridge County,24472
Rockbridge County,24473
Rockbridge County,24483
Rockbridge County,24555
Rockbridge County,24578
Rockbridge County,24579
Rockingham County,22811
Rockingham County,22812
Rockingham County,22815
Rockingham County,22820
Rockingham County,22821
Rockingham County,22832
Rockingham County,22834
Rockingham County,22841
Rockingham County,22846
Rockingham County,22853
Rockingham County,24471
Russell County,24237
Russell County,24649
Scott County,24245
Scott County,24250
Scott County,24251
Scott County,24258
Shenandoah County,22644
Shenandoah County,22657
Shenandoah County,22660
Shenandoah County,22664
Shenandoah County,22810
Shenandoah County,22824
Shenandoah County,22842
Shenandoah County,22844
Shenandoah County,22847
Smyth County,24316
Smyth County,24319
Smyth County,24370
Smyth County,24375
Southampton County,23827
Southampton County,23828
Southampton County,23829
Southampton County,23837
Southampton County,23844
Southampton County,23866
Southampton County,23874
Staunton,24401
Suffolk,23432
Suffolk,23434
Surry County,23839
Surry County,23346
Surry County,23881
Sussex County,23867
Sussex County,23888
Sussex County,23890
Tazewell County,24602
Tazewell County,24605
Tazewell County,24613
Tazewell County,24622
Tazewell County,24651
Virginia Beach,23521
Warren County,22642
Warren County,22649
Washington County,24236
Washington County,24270
Washington County,24340
Waynesboro,22980
Westmoreland County,22488
Winchester,22601
Wise County,24216
Wise County,24219
Wise County,24230
Wise County,24283
Wise County,24285
Wise County,24293
Wythe County,24312
Wythe County,24322
Wythe County,24323
Wythe County,24350
Wythe County,24368
Wythe County,24382