Locality,FIPS,Population < 72 Months,Number Tested,Number Confirmed Elevated,Percent Confirmed Elevated,Confirmed Blood Lead Level Category 10-14 μg/dL,Confirmed Blood Lead Level Category 15-19 μg/dL,Confirmed Blood Lead Level Category 20-44 μg/dL,Confirmed Blood Lead Level Category 45-69 μg/dL,Confirmed Blood Lead Level Category ≥ 70 μg/dL
Accomack County,51001,2371,816,3,0.4,1,1,1,,
Albemarle County,51003,6687,768,3,0.4,3,,,,
Alleghany County,51005,957,94,0,,,,,,
Amelia County,51007,876,144,1,0.7,,1,,,
Amherst County,51009,2101,362,1,0.3,1,,,,
Appomattox County,51011,993,230,1,0.4,,1,,,
Arlington County,51013,13798,2683,3,0.1,3,,,,
Augusta County,51015,4715,791,0,,,,,,
Bath County,51017,196,64,0,,,,,,
Bedford County,51019,4201,288,0,,,,,,
Bland County,51021,353,54,0,,,,,,
Botetourt County,51023,2011,213,1,0.5,1,,,,
Brunswick County,51025,1024,336,4,1.2,2,,2,,
Buchanan County,51027,1343,326,2,0.6,1,1,,,
Buckingham County,51029,1089,220,1,0.5, ,,1,,
Campbell County,51031,3621,391,0,,,,,,
Caroline County,51033,2417,372,0,,,,,,
Carroll County,51035,1916,220,0,,,,,,
Charles City County,51036,368,41,0,,,,,,
Charlotte County,51037,858,166,2,1.2,2,,,,
Chesterfield County,51041,24257,4211,9,0.2,6,1,2,,
Clarke County,51043,927,64,0,,,,,,
Craig County,51045,319,29,0,,,,,,
Culpeper County,51047,3990,1143,0,,,,,,
Cumberland County,51049,727,131,1,0.8,1,,,,
Dickenson County,51051,1037,139,0,,,,,,
Dinwiddie County,51053,1919,139,0,,,,,,
Essex County,51057,796,127,0,,,,,,
Fairfax County,51059,87623,11038,24,0.2,12,6,5,1,
Fauquier County,51061,4684,520,5,1,3,2,,,
Floyd County,51063,1033,36,0,,,,,,
Fluvanna County,51065,1954,201,0,,,,,,
Franklin County,51067,3721,126,0,,,,,,
Frederick County,51069,6046,370,0,,,,,,
Giles County,51071,1114,60,0,,,,,,
Gloucester County,51073,2259,173,0,,,,,,
Goochland County,51075,1247,397,3,0.8,1,,2,,
Grayson County,51077,825,105,1,1,1,,,,
Greene County,51079,1592,204,0,,,,,,
Greensville County,51081,596,14,0,,,,,,
Halifax County,51083,2409,431,0,,,,,,
Hanover County,51085,6775,997,3,0.3,3,,,,
Henrico County,51087,24540,4360,6,0.1,3,,3,,
Henry County,51089,3537,175,0,,,,,,
Highland County,51091,85,25,0,,,,,,
Isle of Wight County,51093,2296,406,0,,,,,,
James City County,51095,4151,243,1,0.4,,,1,,
King and Queen County,51097,446,42,0,,,,,,
King George County,51099,2184,262,0,,,,,,
King William County,51101,1214,96,1,1,1,,,,
Lancaster County,51103,571,158,0,,,,,,
Lee County,51105,1592,313,0,,,,,,
Loudoun County,51107,33428,1826,2,0.1,1,1,,,
Louisa County,51109,2425,387,0,,,,,,
Lunenburg County,51111,818,167,1,0.6,1,,,,
Madison County,51113,909,118,0,,,,,,
Mathews County,51115,418,66,0,,,,,,
Mecklenburg County,51117,1930,524,6,1.1,4,,2,,
Middlesex County,51119,529,120,0,,,,,,
Montgomery County,51121,5247,132,0,,,,,,
Nelson County,51125,881,195,3,1.5,2,,1,,
New Kent County,51127,1197,130,0,,,,,,
Northampton County,51131,815,254,1,0.4,1,,,,
Northumberland County,51133,631,141,2,1.4,,1,1,,
Nottoway County,51135,1073,267,1,0.4,,1,,,
Orange County,51137,2416,453,1,0.2,1,,,,
Page County,51139,1597,186,0,,,,,,
Patrick County,51141,1111,166,0,,,,,,
Pittsylvania County,51143,3984,738,2,0.3,2,,,,
Powhatan County,51145,1739,215,0,,,,,,
Prince Edward County,51147,1243,392,1,0.3,,1,,,
Prince George County,51149,2369,160,2,1.3,2,,,,
Prince William County,51153,39746,4005,4,0.1,3,,1,,
Pulaski County,51155,2086,318,1,0.3,,,,1,
Rappahannock County,51157,393,100,0,,,,,,
Richmond County,51159,497,114,0,,,,,,
Roanoke County,51161,5594,313,1,0.3,1,,,,
Rockbridge County,51163,1292,87,0,,,,,,
Rockingham County,51165,5552,1165,4,0.3,3,,1,,
Russell County,51167,1864,224,0,,,,,,
Scott County,51169,1391,364,2,0.5,1,,1,,
Shenandoah County,51171,2935,254,2,0.8,1,1,,,
Smyth County,51173,2081,479,1,0.2,1,,,,
Southampton County,51175,1158,131,0,,,,,,
Spotsylvania County,51177,10056,1469,0,,,,,,
Stafford County,51179,10647,1358,0,,,,,,
Surry County,51181,437,66,0,,,,,,
Sussex County,51183,646,177,0,,,,,,
Tazewell County,51185,2859,879,0,,,,,,
Warren County,51187,2901,193,0,,,,,,
Washington County,51191,3268,114,0,,,,,,
Westmoreland County,51193,1112,243,0,,,,,,
Wise County,51195,2774,440,1,0.2,1,,,,
Wythe County,51197,1930,418,0,,,,,,
York County,51199,4681,153,0,,,,,,
Alexandria,51510,11391,2342,1,0,1,,,,
Bedford,51515,476,171,1,0.6,,1,,,
Bristol,51520,1311,128,0,,,,,,
Buena Vista,51530,483,32,1,3.1,,1,,,
Charlottesville,51540,2661,647,2,0.3,1,,1,,
Chesapeake,51550,17400,2165,3,0.1,2,,1,,
Colonial Heights,51570,1152,286,1,0.3,1,,,,
Covington,51580,404,200,0,,,,,,
Danville,51590,3205,1526,5,0.3,2,2,1,,
Emporia,51595,513,251,2,0.8,1,,1,,
Fairfax,51600,1515,845,1,0.1,1,,,,
Falls Church,51610,931,177,0,,,,,,
Franklin,51620,751,201,0,,,,,,
Fredericksburg,51630,1910,476,4,0.8,3,1,,,
Galax,51640,485,260,0,,,,,,
Hampton,51650,10539,1547,3,0.2,2,1,,,
Harrisonburg,51660,2888,401,0,,,,,,
Hopewell,51670,2056,459,0,,,,,,
Lexington,51678,233,54,0,,,,,,
Lynchburg,51680,5382,1422,9,0.6,7,1,1,,
Manassas,51683,3824,1425,2,0.1,2,,,,
Manassas Park,51685,1520,573,1,0.2,1,,,,
Martinsville,51690,998,100,0,,,,,,
Newport News,51700,15971,2231,14,0.6,7,2,5,,
Norfolk,51710,19495,3913,14,0.4,4,4,5,,1
Norton,51720,289,85,0,,,,,,
Petersburg,51730,2469,875,6,0.7,3,1,2,,
Poquoson,51735,695,33,0,,,,,,
Portsmouth,51740,8343,1316,8,0.6,4,3,1,,
Radford,51750,715,61,0,,,,,,
Richmond,51760,14987,6276,43,0.7,26,6,11,,
Roanoke,51770,8168,909,4,0.4,4,,,,
Salem,51775,1445,235,0,,,,,,
Staunton,51790,1594,709,0,,,,,,
Suffolk,51800,7283,1691,5,0.3,3,1,1,,
Virginia Beach,51810,34899,3139,2,0.1,2,,,,
Waynesboro,51820,1851,806,3,0.4,2,,1,,
Williamsburg,51830,498,4,0,,,,,,
Winchester,51840,2144,325,4,1.2,2,1,1,,
Unknown *,,,5393,1,0,1,,,,
Virginia,,611895,98704,254,0.3,152,43,56,3,0